region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
"quad cities, IA/IL",2200,2008.0,chrysler,sebring,fair,6 cylinders,gas,127000.0,clean,automatic,,fwd,mid-size,convertible,blue,,il,41.4906,-90.49799999999999
omaha / council bluffs,8999,2014.0,chevrolet,malibu limited,like new,4 cylinders,gas,55976.0,clean,automatic,1G11C5SLXEF303185,fwd,full-size,sedan,black,,ia,41.1497,-95.9099
rockford,12500,2015.0,gmc,savana cutaway,,8 cylinders,gas,213452.0,clean,automatic,,rwd,,other,white,,il,,
nashville,16500,2012.0,mazda,mx-5 miata touring,good,,gas,27995.0,clean,other,JM1NC2LF1C0225315,rwd,,other,blue,,tn,36.2,-86.32
omaha / council bluffs,11499,2017.0,chevrolet,malibu,like new,4 cylinders,gas,35034.0,clean,automatic,1G1ZB5ST6HF232268,fwd,mid-size,sedan,black,,ia,41.1497,-95.9099
omaha / council bluffs,8999,2016.0,chevrolet,malibu limited,like new,4 cylinders,gas,75258.0,clean,automatic,1G11C5SA7GU122249,fwd,mid-size,sedan,black,,ia,41.1497,-95.9099
nashville,9500,2012.0,chevrolet,silverado z71,excellent,8 cylinders,gas,208000.0,clean,automatic,,rwd,,,,,tn,36.8453,-86.8823
omaha / council bluffs,8499,2014.0,ford,fusion se,like new,4 cylinders,gas,79523.0,clean,automatic,1FA6P0H76E5350207,fwd,full-size,sedan,red,,ia,41.1497,-95.9099
rockford,10995,2000.0,ford,f350 lariat,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
rockford,199,2017.0,chrysler,200,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
rockford,499,2017.0,ford,f150 supercrew cab xlt,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
south jersey,4995,2003.0,nissan,xterra,,6 cylinders,gas,107823.0,clean,manual,5N1ED28Y73C645730,4wd,,SUV,black,,nj,39.9804,-74.8209
rockford,199,2012.0,dodge,durango sxt awd,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
rockford,399,2014.0,ford,f150 lariat 4x4,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
south jersey,3995,2005.0,honda,accord coupe,,4 cylinders,gas,140935.0,clean,automatic,1HGCM72795A007486,fwd,,coupe,white,,nj,39.9804,-74.8209
nashville,1500,1991.0,toyota,4runner,salvage,6 cylinders,gas,256404.0,clean,manual,,4wd,,SUV,,,tn,35.9103,-86.3841
omaha / council bluffs,12999,2015.0,chevrolet,impala,like new,6 cylinders,gas,39368.0,clean,automatic,2G1125S39F9100866,fwd,full-size,sedan,custom,,ia,41.1497,-95.9099
omaha / council bluffs,12999,2013.0,gmc,acadia awd slt-1,like new,6 cylinders,gas,88489.0,clean,automatic,1GKKVRKDXDJ262708,4wd,full-size,SUV,custom,,ia,41.1497,-95.9099
greensboro,54000,2013.0,,Maserati GranTurismo Convertible,excellent,8 cylinders,gas,23034.0,clean,automatic,ZAM45VMA6D0068954,rwd,mid-size,convertible,black,,nc,36.1038,-78.2924
rockford,299,2017.0,gmc,terrain sle-2,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
richmond,2950,2001.0,ford,f650,excellent,8 cylinders,diesel,,clean,automatic,,rwd,,,white,,va,39.1077,-76.872
south jersey,10995,2016.0,chevrolet,malibu limited,,4 cylinders,,85254.0,clean,automatic,1G11A5SA6GF110863,fwd,,,silver,,nj,39.9804,-74.8209
rockford,499,2017.0,ram,1500 rebel,,,gas,,clean,automatic,,,,,,,il,42.3295,-89.0335
greensboro,29800,2012.0,chevrolet,corvette,excellent,8 cylinders,gas,57413.0,clean,automatic,1G1YW2DW5C5101546,rwd,mid-size,coupe,orange,,nc,36.1038,-78.2924
south jersey,9495,2011.0,audi,a6,,6 cylinders,gas,106264.0,clean,automatic,WAUKGAFB2BN014844,,,sedan,silver,,nj,39.9804,-74.8209
richmond,6500,2008.0,lexus,gs460,good,6 cylinders,gas,,clean,automatic,,rwd,full-size,sedan,white,,va,37.4638,-77.398
south jersey,7995,2008.0,mercedes-benz,r-class,,6 cylinders,gas,103216.0,clean,automatic,4JGCB65E08A084613,,,SUV,,,nj,39.9804,-74.8209
south jersey,4495,2012.0,fiat,500,,4 cylinders,gas,121244.0,clean,manual,3C3CFFDR0CT213954,fwd,,convertible,black,,nj,39.9804,-74.8209
rockford,5495,2010.0,chevrolet,impala,excellent,6 cylinders,gas,144240.0,clean,automatic,,fwd,full-size,sedan,white,,il,42.012,-89.3173
rockford,3500,2011.0,ford,crown victoria,excellent,8 cylinders,gas,,clean,automatic,,rwd,full-size,sedan,white,,il,42.01,-89.3171
rockford,5000,2009.0,jeep,liberty,good,6 cylinders,gas,137273.0,clean,automatic,1J8GN28K09W512877,4wd,full-size,SUV,white,,il,42.2618,-89.0989
omaha / council bluffs,11999,2017.0,toyota,camry le,excellent,4 cylinders,gas,35721.0,clean,automatic,4T1BF1FK0HU647164,fwd,full-size,sedan,red,,ia,41.1497,-95.9099
rockford,2600,2004.0,chevrolet,s-10,excellent,,gas,190000.0,clean,automatic,,,,,,,il,42.3545,-89.0397
omaha / council bluffs,9499,2015.0,nissan,altima,like new,4 cylinders,gas,51848.0,clean,automatic,1N4AL3AP3FC187501,fwd,mid-size,sedan,grey,,ia,41.1497,-95.9099
omaha / council bluffs,3890,2011.0,subaru,outback,excellent,4 cylinders,gas,300000.0,clean,automatic,,4wd,,SUV,white,,ia,41.2962,-95.965
richmond,11990,2010.0,chevrolet,silverado 1500 hybrid,,8 cylinders,gas,54680.0,clean,automatic,,rwd,,,white,,va,40.0037,-75.0257
richmond,13990,2014.0,toyota,tacoma prerunner,excellent,4 cylinders,gas,96009.0,clean,automatic,,rwd,,,white,,va,40.0037,-75.0257
western slope,4900,2008.0,nissan,altima,,4 cylinders,gas,127755.0,clean,automatic,,fwd,,,,,co,39.0645,-108.55
greensboro,38200,2016.0,cadillac,ct6 sedan,good,6 cylinders,gas,27976.0,clean,automatic,1G6KK5R67GU150295,4wd,full-size,sedan,white,,nc,36.1038,-78.2924
rockford,5400,2006.0,audi,a4,excellent,4 cylinders,gas,164000.0,clean,automatic,,4wd,,sedan,blue,,il,42.2786,-89.0361
rockford,2500,2000.0,chevrolet,silverado,fair,8 cylinders,gas,,clean,manual,,rwd,,,black,,il,41.8643,-89.2086
rockford,0,2011.0,nissan,pathfinder,excellent,6 cylinders,gas,179980.0,clean,automatic,5N1AR1NB3BC606061,4wd,full-size,SUV,red,,il,42.3204,-88.9827
south jersey,4595,2007.0,chevrolet,cobalt,,4 cylinders,gas,103315.0,clean,automatic,1G1AL15FX77310049,fwd,,coupe,blue,,nj,39.9804,-74.8209
rockford,0,2011.0,ford,f-150,excellent,6 cylinders,gas,75576.0,clean,automatic,1FTFW1ET6BFC24567,4wd,mid-size,truck,,,il,42.2662,-89.0046
greensboro,9500,2008.0,toyota,highlander,good,6 cylinders,gas,149799.0,clean,automatic,JTEDS42A682027627,fwd,mid-size,SUV,white,,nc,36.1038,-78.2924
rockford,11200,2014.0,volkswagen,passat,excellent,4 cylinders,diesel,,clean,automatic,1VWBN7A34EC090770,fwd,full-size,sedan,black,,il,42.0376,-88.3186
greensboro,14999,2015.0,dodge,charger,good,6 cylinders,gas,63037.0,clean,automatic,,rwd,full-size,sedan,white,,nc,36.022,-79.7821
greensboro,17300,2010.0,cadillac,escalade ext,good,8 cylinders,gas,141276.0,clean,automatic,3GYVKMEF9AG209040,4wd,full-size,pickup,black,,nc,36.1038,-78.2924
greensboro,10499,2013.0,chrysler,300,good,6 cylinders,gas,88042.0,clean,automatic,,rwd,mid-size,sedan,grey,,nc,36.022,-79.7821
rockford,7500,2005.0,toyota,tacoma,good,6 cylinders,gas,160000.0,clean,automatic,,rwd,mid-size,pickup,silver,,il,42.2166,-89.0512
rockford,8700,2008.0,ford,f250 super duty 4x4,good,8 cylinders,diesel,233000.0,clean,automatic,,4wd,,pickup,white,,il,42.3545,-89.0397
richmond,13990,2014.0,toyota,tacoma prerunner,excellent,4 cylinders,gas,96009.0,clean,automatic,,rwd,,,white,,va,40.0037,-75.0257
rockford,6400,1968.0,mercury,cougar,,,gas,41999.0,clean,automatic,,,,,,,il,42.4544,-89.0887
richmond,9750,2013.0,chevrolet,avalanche z71,like new,8 cylinders,gas,,clean,automatic,,4wd,,,green,,va,39.1077,-76.872
greensboro,16900,2012.0,audi,q7,excellent,,diesel,119500.0,clean,automatic,WA1LMAFE7CD008503,4wd,,SUV,white,,nc,36.1032,-79.8794
nashville,9900,2001.0,gmc,savana 3500,good,8 cylinders,gas,,clean,automatic,,rwd,,van,white,,tn,36.0298,-87.3473
denver,16337,2013.0,toyota,highlander 4x4 3rd row s,,,gas,110610.0,clean,automatic,5TDBK3EH1DS177131,4wd,,wagon,,,co,39.676,-105.009
nashville,15699,2016.0,hyundai,veloster,,,gas,29728.0,clean,automatic,KMHTC6AE8GU285269,,compact,coupe,black,,tn,36.1715,-86.4971
denver,2500,2005.0,ford,five hundred,good,6 cylinders,gas,140000.0,clean,automatic,,fwd,,sedan,blue,,co,39.8056,-104.92200000000001
greensboro,4300,1994.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,,clean,automatic,,4wd,full-size,truck,red,,nc,36.1673,-79.9804
south jersey,5495,2003.0,honda,cr-v,,4 cylinders,gas,122268.0,clean,automatic,SHSRD78863U147520,,,SUV,green,,nj,39.9804,-74.8209
greensboro,7999,2015.0,chrysler,200,good,4 cylinders,gas,78980.0,clean,automatic,,fwd,full-size,sedan,black,,nc,36.06,-79.8611
south jersey,10495,2014.0,subaru,forester,,4 cylinders,gas,99872.0,clean,automatic,JF2SJAAC1EH480919,,,SUV,,,nj,39.9804,-74.8209
south jersey,7995,2008.0,volkswagen,golf gti,,4 cylinders,gas,73241.0,clean,automatic,WVWHD71K88W299827,fwd,,hatchback,grey,,nj,39.9804,-74.8209
greensboro,5995,2012.0,hyundai,elantra gls,,,gas,134186.0,clean,manual,5NPDH4AE1CH116620,,,,,,nc,35.7904,-78.7717
south jersey,8995,2010.0,chevrolet,tahoe,,8 cylinders,,152619.0,clean,automatic,1GNUKAE00AR275821,4wd,,SUV,white,,nj,39.9804,-74.8209
greensboro,33900,2013.0,ford,f-350,,,diesel,144000.0,clean,automatic,1FT8W3DT9DEA67163,4wd,,pickup,white,,nc,36.2768,-80.3395
nashville,30900,2017.0,ford,f250,good,8 cylinders,gas,,clean,automatic,,4wd,,truck,white,,tn,36.0298,-87.3474
south jersey,10995,2015.0,ram,1500,,8 cylinders,gas,91497.0,clean,other,3C6JR6DT7FG531290,rwd,,pickup,white,,nj,39.9804,-74.8209
south jersey,2800,1999.0,chevrolet,malibu ls,like new,6 cylinders,gas,,clean,automatic,,,,,,,nj,39.9093,-74.1549
omaha / council bluffs,9249,2016.0,jeep,patriot,like new,4 cylinders,gas,63211.0,clean,automatic,1C4NJPBB3GD561791,fwd,mid-size,SUV,grey,,ia,41.1497,-95.9099
south jersey,8900,2009.0,chevrolet,avalanche,,8 cylinders,gas,201000.0,clean,automatic,,4wd,,,,,nj,39.3673,-75.0293
richmond,194,2016.0,buick,encore,good,4 cylinders,gas,30415.0,clean,automatic,KL4CJASB3GB650576,,,other,,,va,37.2604,-77.3246
rockford,13590,2018.0,nissan,sentra,excellent,4 cylinders,gas,42197.0,clean,automatic,3N1AB7AP7JY325659,fwd,,,blue,,il,42.2991,-89.6345
rockford,8900,2012.0,gmc,terrain,good,6 cylinders,gas,160687.0,clean,automatic,2GKFLXE50C6147417,4wd,,,white,,il,42.2991,-89.6345
richmond,299,2014.0,chevrolet,silverado 1500 lt,good,6 cylinders,other,46496.0,clean,automatic,1GCRCREH0EZ162893,,,pickup,,,va,37.2604,-77.3246
richmond,228,2017.0,chevrolet,equinox lt,good,4 cylinders,gas,49167.0,clean,automatic,2GNFLFEK8H6150141,,,other,,,va,37.2604,-77.3246
south jersey,6500,2010.0,ford,f150,,8 cylinders,gas,177000.0,clean,automatic,,rwd,,,,,nj,39.3673,-75.0293
rockford,11580,2018.0,ford,fiesta,excellent,4 cylinders,gas,37075.0,clean,automatic,3FADP4EJ5JM122878,fwd,,,silver,,il,42.2991,-89.6345
rockford,8000,2009.0,ford,f-150,good,8 cylinders,gas,234000.0,clean,automatic,123456789,4wd,full-size,truck,black,,il,42.1229,-89.5831
rockford,15990,2018.0,ford,fusion se hybrid,good,4 cylinders,gas,2678.0,clean,automatic,3FA6P0LUXJR138155,fwd,,sedan,grey,,il,42.2991,-89.6345
rockford,13540,2013.0,ford,explorer xlt,good,6 cylinders,gas,90998.0,clean,automatic,1FM5K7D86DGC85496,fwd,,SUV,silver,,il,42.2991,-89.6345
omaha / council bluffs,8499,2016.0,jeep,patriot,like new,4 cylinders,gas,21998.0,clean,manual,1C4NJPBA7GD569965,fwd,mid-size,SUV,green,,ia,41.1497,-95.9099
omaha / council bluffs,7999,2016.0,dodge,dart,like new,4 cylinders,gas,39994.0,clean,automatic,1C3CDFAA0GD625632,fwd,mid-size,sedan,orange,,ia,41.1497,-95.9099
omaha / council bluffs,9249,2016.0,toyota,corolla s,excellent,4 cylinders,gas,64339.0,clean,automatic,2T1BURHE9GC555627,fwd,mid-size,sedan,red,,ia,41.1497,-95.9099
south jersey,3900,2001.0,ford,ranger,,6 cylinders,gas,154000.0,clean,automatic,,rwd,,,,,nj,39.3673,-75.0293
nashville,12800,2011.0,gmc,yukon denali,excellent,8 cylinders,gas,164855.0,salvage,automatic,,4wd,full-size,SUV,silver,,tn,35.9656,-86.5048
nashville,20000,2016.0,dodge,charger,excellent,,gas,33096.0,clean,automatic,2C3CDXJG3GH348178,4wd,,sedan,black,,tn,36.2923,-86.7333
nashville,29899,2016.0,infiniti,q50,,,gas,38841.0,clean,automatic,JN1FV7AR6GM450890,4wd,,sedan,blue,,tn,36.1557,-86.7906
omaha / council bluffs,11499,2017.0,chevrolet,equinox,like new,4 cylinders,gas,54772.0,clean,automatic,2GNFLEEK0H6223769,4wd,mid-size,SUV,grey,,ia,41.1497,-95.9099
south jersey,8500,2005.0,infiniti,qx56,excellent,8 cylinders,gas,177000.0,rebuilt,automatic,5N3AA08C25N807195,4wd,full-size,SUV,black,,nj,40.1547,-74.9904
south jersey,4500,1999.0,ford,f250,,8 cylinders,diesel,,clean,automatic,,,,,,,nj,39.8067,-75.0358
south jersey,16500,1997.0,ford,f-350 crewcab xlt,excellent,8 cylinders,diesel,190000.0,clean,automatic,,4wd,full-size,pickup,black,,nj,39.7647,-75.5069
south jersey,7400,2014.0,nissan,maxima sv,excellent,6 cylinders,gas,101000.0,rebuilt,automatic,1N4AA5AP3EC485787,fwd,mid-size,sedan,red,,nj,39.4655,-74.9653
greensboro,4490,2006.0,lexus,rx 400h,good,6 cylinders,gas,244000.0,clean,automatic,,4wd,mid-size,SUV,silver,,nc,36.0425,-80.2609
greensboro,27900,2018.0,chevrolet,silverado 1500 crew,good,8 cylinders,gas,25352.0,clean,automatic,3GCUCRER0JG275014,,,pickup,white,,nc,36.07,-79.82
greensboro,23700,2015.0,toyota,tacoma double cab,good,,gas,27202.0,clean,other,5TFJX4GN5FX047288,,,pickup,,,nc,36.07,-79.82
greensboro,26200,2016.0,chevrolet,colorado extended cab,good,6 cylinders,gas,17585.0,clean,other,1GCHTDE37G1224925,4wd,,pickup,brown,,nc,36.07,-79.82
greensboro,13500,2009.0,mercedes-benz,benz s550,excellent,8 cylinders,gas,12600.0,clean,automatic,,rwd,full-size,sedan,black,,nc,36.0777,-79.9086
greensboro,7495,2012.0,honda,accord exl,,,gas,155456.0,clean,automatic,1HGCP2F87CA223086,,,,,,nc,35.7904,-78.7717
greensboro,0,2013.0,tesla,model s,,,electric,65751.0,clean,automatic,,rwd,,sedan,black,,nc,,
south jersey,6900,2016.0,chevrolet,cruze premier,like new,4 cylinders,gas,53000.0,rebuilt,automatic,1G1BG5SM2G7244499,fwd,mid-size,sedan,red,,nj,39.4655,-74.9653
greensboro,10790,2014.0,nissan,maxima s,,,gas,62531.0,clean,automatic,1N4AA5AP7EC493259,,,,,,nc,36.0513,-79.3991
greensboro,6390,2009.0,subaru,forester 2.5x,,,gas,122623.0,clean,automatic,JF2SH61609H791413,4wd,,,,,nc,36.0513,-79.3991
greensboro,4250,1997.0,ford,thunderbird lx,good,8 cylinders,gas,,clean,automatic,,,,sedan,red,,nc,36.4262,-80.5278
south jersey,0,2009.0,ford,flex,,,gas,,clean,automatic,,,,,,,nj,40.0535,-74.8932
greensboro,6600,2014.0,harley-davidson,davidson forty-eight,,,gas,20000.0,clean,,1HD1LC313EC434631,,,other,black,,nc,36.2768,-80.3395
greensboro,3450,2006.0,nissan,altima,good,4 cylinders,gas,229031.0,clean,automatic,,fwd,mid-size,sedan,,,nc,36.1165,-80.0831
greensboro,2400,1999.0,dodge,durango,good,8 cylinders,gas,190.0,clean,automatic,,4wd,full-size,SUV,blue,,nc,35.806999999999995,-79.8223
greensboro,23200,2019.0,chevrolet,camaro lt convertible,good,6 cylinders,gas,35292.0,clean,other,1G1FB3DS4K0109994,rwd,,other,red,,nc,36.07,-79.82
greensboro,21600,2016.0,cadillac,ats 2.0l turbo luxury,good,,gas,50850.0,clean,other,1G6AH1RX4G0172032,,,coupe,black,,nc,36.07,-79.82
denver,11995,2017.0,nissan,rogue,like new,4 cylinders,gas,85978.0,clean,automatic,JN8AT2MT1HW148666,4wd,full-size,SUV,silver,,co,39.7312,-104.913
nashville,34900,2013.0,mercedes-benz,benze sprinter 2500,excellent,6 cylinders,diesel,23893.0,clean,automatic,WDZPE7CC9D5767661,rwd,,van,black,,tn,30.9533,-95.9091
greensboro,20900,2017.0,fiat,124 spider lusso,good,,gas,5705.0,clean,other,JC1NFAEK9H0120019,rwd,,other,,,nc,36.07,-79.82
greensboro,17900,2014.0,,Scion FR-S Coupe 2D,good,,gas,27686.0,clean,other,JF1ZNAA11E9706070,rwd,,coupe,black,,nc,36.07,-79.82
greensboro,16400,2012.0,mazda,mx-5 miata grand touring,good,,gas,55291.0,clean,other,JM1NC2PF7C0225846,rwd,,other,blue,,nc,36.07,-79.82
greensboro,13900,2008.0,mercedes-benz,s-class,,,gas,130600.0,clean,automatic,WDDNG86XX8A198991,,full-size,sedan,silver,,nc,35.0515,-80.6214
greensboro,0,2017.0,chevrolet,camaro,,6 cylinders,gas,56267.0,clean,manual,,rwd,,coupe,white,,nc,,
greensboro,0,2014.0,ram,1500,,,gas,,clean,automatic,3C6JR6DTXEG131769,,,,,,nc,36.0579,-79.4046
richmond,6000,2012.0,honda,civic,good,4 cylinders,gas,,clean,automatic,,fwd,,sedan,blue,,va,37.2471,-77.4606
rockford,3800,2012.0,nissan,versa sl hatchback,good,4 cylinders,gas,100750.0,clean,automatic,,fwd,compact,hatchback,black,,il,42.4217,-88.9943
greensboro,0,2015.0,ford,explorer,,,gas,,clean,automatic,1FM5K7F83FGB82052,,,,,,nc,36.0579,-79.4046
greensboro,0,2018.0,toyota,rav4,,,gas,,clean,automatic,2T3WFREV1JW413852,,,,,,nc,36.0579,-79.4046
greensboro,5100,2008.0,honda,cr-v,excellent,4 cylinders,gas,188000.0,clean,automatic,,4wd,,SUV,red,,nc,36.0717,-79.9102
greensboro,0,2012.0,volkswagen,eos,,,gas,,clean,automatic,WVWBW7AH3CV018889,,,,,,nc,35.983000000000004,-80.0095
greensboro,15999,2012.0,dodge,challenger,,,gas,,clean,manual,2C3CDYBT6CH130456,,,,,,nc,35.9427,-80.0347
greensboro,0,2018.0,chevrolet,malibu,,,gas,,clean,automatic,1G1ZB5ST7JF114929,,,,,,nc,36.4787,-79.7381
greensboro,0,2016.0,ford,f-150,,,gas,,clean,automatic,1FTEX1C81GFB20602,,,,,,nc,36.4787,-79.7381
greensboro,30900,2015.0,chevrolet,tahoe,,,gas,86000.0,clean,automatic,1GNSKBKC2FR152105,4wd,,SUV,,,nc,36.2768,-80.3395
rockford,3000,2004.0,toyota,camry,good,4 cylinders,gas,,clean,automatic,,,,,,,il,42.2396,-89.0299
south jersey,5200,2008.0,honda,civic,,4 cylinders,gas,129000.0,clean,automatic,,,,,,,nj,39.8162,-75.0499
greensboro,0,2017.0,honda,accord sedan,,,gas,,clean,automatic,1HGCR2F32HA193940,,,,,,nc,35.9827,-80.0117
greensboro,0,2018.0,dodge,grand caravan,,,gas,,clean,automatic,2C4RDGCG9JR253385,,,,,,nc,36.3298,-79.6475
greensboro,0,2004.0,honda,pilot,,,gas,193777.0,clean,automatic,2HKYF18594H565640,,,SUV,silver,,nc,35.9961,-80.0329
greensboro,0,2017.0,hyundai,accent,,,gas,,clean,automatic,KMHCT5AE0HU336212,,,,,,nc,36.0608,-79.875
syracuse,9995,2012.0,acura,tl,,,gas,92272.0,clean,automatic,19UUA8F20CA007052,,,sedan,white,,ny,40.6787,-73.7484
greensboro,0,2017.0,ford,escape,,,gas,,clean,automatic,1FMCU0GD5HUC58637,,,,,,nc,36.0608,-79.875
greensboro,0,2019.0,,Biz On Wheels,excellent,,gas,0.0,clean,automatic,1F66F5KY2G0A08512,,,,,,nc,35.2404,-80.9017
greensboro,0,2019.0,,Biz On Wheels,excellent,,gas,0.0,clean,automatic,1R9R1BF28JC828012,,,,,,nc,35.2404,-80.9017
greensboro,4500,2004.0,jeep,grand cherokee,good,6 cylinders,gas,168821.0,clean,automatic,1J4GW48S94C128584,4wd,full-size,SUV,grey,,nc,35.9344,-80.0079
syracuse,9995,2010.0,acura,mdx,,,gas,133580.0,clean,automatic,2HNYD2H63AH516890,,,SUV,black,,ny,40.6787,-73.7484
south jersey,2400,1997.0,honda,cr-v,excellent,4 cylinders,gas,159.0,clean,automatic,,,,,,,nj,39.908,-75.0849
south jersey,3250,2010.0,ford,focus ses sedan 4d,excellent,,gas,124000.0,clean,automatic,,,,sedan,black,,nj,39.8805,-74.9706
greensboro,2400,2001.0,toyota,camry,good,4 cylinders,gas,277564.0,clean,automatic,2T1CG22P2C1426004,fwd,sub-compact,coupe,yellow,,nc,35.9344,-80.0079
greensboro,0,2017.0,ford,explorer,,,gas,,clean,automatic,1FM5K7D84HGE18617,,,,,,nc,36.1728,-80.1686
syracuse,25000,2016.0,ram,2500,,,gas,,rebuilt,automatic,,,,,,,ny,42.9719,-78.8769
greensboro,229,2018.0,nissan,sentra,,,gas,,clean,automatic,3N1AB7AP5JY341035,,,,,,nc,36.1728,-80.1686
greensboro,239,2017.0,ford,escape,,,gas,,clean,automatic,1FMCU0F77HUA32661,,,,,,nc,36.1728,-80.1686
greensboro,189,2011.0,ford,f150,,,gas,,clean,automatic,1FTMF1CM6BKD18586,,,,,,nc,36.1728,-80.1686
greensboro,4499,2005.0,buick,lesabre,good,6 cylinders,gas,176623.0,clean,automatic,1G4HR54K55U273139,fwd,full-size,sedan,green,,nc,35.9344,-80.0079
greensboro,37000,2017.0,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,25053.0,clean,automatic,3GTU2NEC9HG206176,4wd,,pickup,grey,,nc,36.07,-79.82
greensboro,33900,2018.0,ford,f250 super duty crew cab xl,good,8 cylinders,gas,40847.0,clean,automatic,1FT7W2B6XJEB83275,4wd,,pickup,white,,nc,36.07,-79.82
greensboro,14900,1981.0,pontiac,firebird,excellent,6 cylinders,gas,114000.0,clean,automatic,1G2AS87A4BL143552,,,coupe,blue,,nc,36.1029,-79.5067
greensboro,6900,2014.0,dodge,grand caravan,good,6 cylinders,gas,134931.0,clean,automatic,2C4RDGCG2ER179264,fwd,mid-size,mini-van,,,nc,36.071999999999996,-79.8846
nashville,0,2014.0,ford,f-150 xlt,excellent,6 cylinders,gas,60000.0,rebuilt,automatic,,4wd,full-size,truck,custom,,tn,36.1036,-86.7418
greensboro,0,2014.0,,Freightliner Cascadia,,,diesel,,clean,automatic,,,,,,,nc,36.0753,-79.9394
greensboro,2500,2009.0,chevrolet,express 3500 cargo van,fair,8 cylinders,gas,300000.0,clean,automatic,1GCHG39C691119594,rwd,,van,white,,nc,36.0036,-80.0036
greensboro,17000,2015.0,chevrolet,express 3500 passenger,like new,8 cylinders,gas,94000.0,clean,automatic,1GAZG1FF7F1110818,rwd,full-size,van,white,,nc,36.0346,-79.7908
greensboro,6200,2008.0,bmw,335i,excellent,6 cylinders,gas,,clean,automatic,,rwd,,sedan,,,nc,35.9734,-80.0107
south jersey,1299,2011.0,kia,rio,,4 cylinders,gas,239457.0,,automatic,KNADH4A38B6737227,fwd,,sedan,silver,,nj,40.083,-74.168
south jersey,6999,2001.0,ram,1500,,8 cylinders,gas,69357.0,,automatic,3B7HC13Y11G733009,rwd,,,,,nj,40.083,-74.168
south jersey,299,2006.0,toyota,camry solara convertible,excellent,6 cylinders,gas,178534.0,clean,automatic,,fwd,,convertible,red,,nj,40.068000000000005,-74.8454
greensboro,4700,2005.0,chevrolet,colorado z85,excellent,6 cylinders,gas,209000.0,clean,automatic,1GCCS136458110054,rwd,mid-size,truck,blue,,nc,36.0346,-79.7906
richmond,0,2014.0,nissan,leaf,,,other,12478.0,clean,automatic,1N4AZ0CP1EC332298,fwd,,hatchback,silver,,va,38.5114,-77.3689
greensboro,22900,2012.0,chevrolet,silverado,,,gas,133000.0,clean,automatic,1GC1KYEG5CF181035,4wd,,pickup,,,nc,36.2768,-80.3395
greensboro,10750,2012.0,toyota,camry,,,gas,,clean,automatic,,,,,,,nc,36.144,-80.2376
greensboro,0,2013.0,bmw,335,,6 cylinders,gas,86583.0,clean,automatic,,rwd,,convertible,grey,,nc,,
denver,25000,1949.0,,1949 willy delivery,,8 cylinders,gas,,clean,automatic,,rwd,,,,,co,35.2493,-106.682
syracuse,16800,2018.0,dodge,challenger sxt,excellent,6 cylinders,gas,38981.0,clean,automatic,2C3CDZAG3JH236368,rwd,mid-size,coupe,grey,,ny,42.1013,-75.9268
syracuse,5995,2007.0,jeep,compass limited,excellent,4 cylinders,gas,85000.0,clean,automatic,1J8FF57W27D241022,4wd,full-size,SUV,black,,ny,42.0854,-76.0561
syracuse,6995,2005.0,cadillac,cts,excellent,6 cylinders,gas,55000.0,clean,automatic,1G6DP567950142078,rwd,full-size,sedan,brown,,ny,42.0854,-76.0561
richmond,6000,2006.0,,international 4300,fair,6 cylinders,diesel,,clean,automatic,,fwd,,truck,white,,va,37.4373,-77.4788
richmond,21999,2012.0,,peterbilt 386,good,6 cylinders,diesel,594000.0,clean,manual,,rwd,,truck,red,,va,37.4373,-77.4788
syracuse,5000,2009.0,gmc,sierra,fair,6 cylinders,gas,125000.0,clean,automatic,,4wd,full-size,truck,,,ny,43.0354,-76.1282
richmond,0,2017.0,dodge,grand caravan sxt,,,gas,27461.0,clean,automatic,2C4RDGCG7HR605440,,,,,,va,35.8673,-78.5381
syracuse,9995,2011.0,cadillac,cts,excellent,6 cylinders,gas,101000.0,clean,automatic,1G6DG5EY3B0142700,4wd,full-size,sedan,silver,,ny,42.0854,-76.0561
greensboro,18999,2009.0,bmw,x6,,,gas,76700.0,clean,automatic,5UXFG83539LZ92530,,,SUV,,,nc,35.0515,-80.6214
greensboro,13750,2015.0,hyundai,sonata hybrid ltd,,,hybrid,,clean,automatic,,,,,,,nc,36.144,-80.2376
greensboro,11200,2015.0,dodge,charger,excellent,6 cylinders,gas,90302.0,rebuilt,automatic,2C3CDXFG6FH748775,4wd,mid-size,sedan,black,,nc,36.0777,-79.9086
richmond,6200,2006.0,honda,civic,,,gas,90253.0,clean,automatic,1HGFA16866L097692,,sub-compact,sedan,white,,va,38.5077,-77.3712
richmond,3750,1999.0,lincoln,navigator 4wd luxury,,,gas,,clean,automatic,,,,,,,va,37.3429,-77.4156
twin tiers NY/PA,7800,2016.0,kia,soul,excellent,4 cylinders,gas,,clean,automatic,,,compact,hatchback,black,,ny,41.4232,-78.5591
